Year,Production (tons),Emissions (kg CO₂e),Water Usage (liters)
1961,1460,96900.20000000001,23360000
1962,1252,83095.24,20032000
1963,2086,138447.82,33376000
1964,2191,145416.67,35056000
1965,2357,156434.09,37712000
1966,2879,191079.23,46064000
1967,2900,192473.0,46400000
1968,2076,137784.12,33216000
1969,2921,193866.77000000002,46736000
1970,2503,166124.11000000002,40048000
1971,3588,238135.56000000003,57408000
1972,3755,249219.35,60080000
1973,3401,225724.37000000002,54416000
1974,4763,316120.31,76208000
1975,5076,336894.12,81216000
1976,2055,136390.35,32880000
1977,2685,178203.45,42960000
1978,2754,182782.98,44064000
1979,1583,105063.71,25328000
1980,2038,135262.06,32608000
1981,2956,196189.72,47296000
1982,3787,251343.19000000003,60592000
1983,3586,238002.82,57376000
1984,4750,315257.5,76000000
1985,2921,193866.77000000002,46736000
1986,1377,91391.49,22032000
1987,3255,216034.35,52080000
1988,3255,216034.35,52080000
1989,3171,210459.27000000002,50736000
1990,2086,138447.82,33376000
1991,1961,130151.57,31376000
1992,1669,110771.53000000001,26704000
1993,2086,138447.82,33376000
1994,1669,110771.53000000001,26704000
1995,1752,116280.24,28032000
1996,1836,121855.32,29376000
1997,1794,119067.78000000001,28704000
1998,2086,138447.82,33376000
1999,2295,152319.15000000002,36720000
2000,1836,121855.32,29376000
2001,1919,127364.03000000001,30704000
2002,1836,121855.32,29376000
2003,1095,72675.15000000001,17520000
2004,1750,116147.50000000001,28000000
2005,5451,361782.87000000005,87216000
2006,5287,350898.19,84592000
2007,5551,368419.87000000005,88816000
2008,5604,371937.48000000004,89664000
2009,5654,375255.98000000004,90464000
2010,5720,379636.4,91520000
2011,5823,386472.51,93168000
2012,6111,405587.07,97776000
2013,6303,418330.11000000004,100848000
2014,6549,434657.13,104784000
2015,6096,404591.52,97536000
2016,6141,407578.17000000004,98256000
2017,6265,415808.05000000005,100240000
2018,6459,428683.83,103344000
2019,6288,417334.56000000006,100608000
2020,6337,420586.69,101392000
2021,6554,434988.98000000004,104864000
2022,6596,437776.52,105536000
2023,6496,431139.52,103936000
1991,376000,24955120.0,6016000000
1992,800000,53096000.0,12800000000
1993,1000000,66370000.00000001,16000000000
1994,1352000,89732240.0,21632000000
1995,1680000,111501600.00000001,26880000000
1996,906400,60157768.00000001,14502400000
1997,1806000,119864220.00000001,28896000000
1998,2100000,139377000.0,33600000000
1999,5500000,365035000.0,88000000000
2000,11660000,773874200.0,186560000000
2001,13720512,910630381.44,219528192000
2002,14772384,980443126.08,236358144000
2003,33358815,2214024551.55,533741040000
2007,5322000,353221140.0,85152000000
2008,9669600,641771352.0,154713600000
2009,8672000,575560640.0,138752000000
2010,8226000,545959620.0,131616000000
2011,8372763,555700280.3100001,133964208000
1961,2007680,133249721.60000001,32122880000
1962,1720868,114214009.16000001,27533888000
1963,2868114,190356726.18,45889824000
1964,3011520,199874582.4,48184320000
1965,3240969,215103112.53,51855504000
1966,3957997,262692260.89000002,63327952000
1967,3986678,264595818.86,63786848000
1968,2853773,189404914.01000002,45660368000
1969,4015360,266499443.20000002,64245760000
1970,3441737,228428084.69000003,55067792000
1971,4933156,327413563.72,78930496000
1972,5162605,342642093.85,82601680000
1973,4675026,310281475.62,74800416000
1974,6547904,434584388.48,104766464000
1975,6978121,463137890.77000004,111649936000
1976,2825092,187501356.04000002,45201472000
1977,3691263,244989125.31,59060208000
1978,3785911,251270913.07000002,60574576000
1979,2176899,144480786.63,34830384000
1980,2802147,185978496.39000002,44834352000
1981,4064118,269735511.66,65025888000
1982,5205627,345497463.99,83290032000
1983,4930288,327223214.56,78884608000
1984,6530696,433442293.52000004,104491136000
1985,4015360,266499443.20000002,64245760000
1986,1892955,125635423.35000001,30287280000
1987,4474258,296956503.46000004,71588128000
1988,4474258,296956503.46000004,71588128000
1989,4359533,289342205.21000004,69752528000
1990,2868114,190356726.18,45889824000
1991,2696027,178935311.99,43136432000
1992,2294491,152285367.67000002,36711856000
1993,2868114,190356726.18,45889824000
1994,2294491,152285367.67000002,36711856000
1995,2409216,159899665.92000002,38547456000
1996,2523940,167513897.8,40383040000
1997,2466578,163706781.86,39465248000
1998,2868114,190356726.18,45889824000
1999,3154925,209392372.25,50478800000
2000,2523940,167513897.8,40383040000
2001,2638665,175128196.05,42218640000
2002,2523940,167513897.8,40383040000
2003,1505760,99937291.2,24092160000
2004,2406348,159709316.76000002,38501568000
2005,7494382,497402133.34000003,119910112000
2006,7267801,482363952.37,116284816000
2007,7632051,506539224.87000006,122112816000
2008,7703754,511298152.98,123260064000
2009,7772589,515866731.93,124361424000
2010,7864369,521958170.53000003,125829904000
2011,8004680,531270611.6,128074880000
2012,8401156,557584723.72,134418496000
2013,8665556,575132951.72,138648896000
2014,9003010,597529773.7,144048160000
2015,8380629,556222346.73,134090064000
2016,8442541,560331446.1700001,135080656000
2017,8613274,571662995.38,137812384000
2018,8879253,589316021.61,142068048000
2019,8645023,573770176.51,138320368000
2020,8712517,578249753.2900001,139400272000
2021,9009899,597986996.63,144158384000
2022,9067808,601830416.96,145084928000
2023,8930074,592689011.38,142881184000
1991,1024,67962.88,16384000
1992,2146,142430.02000000002,34336000
1993,2613,173424.81,41808000
1994,2204,146279.48,35264000
1995,1969,130682.53000000001,31504000
1996,1116,74068.92,17856000
1997,1774,117740.38,28384000
1998,1930,128094.1,30880000
1999,4376,290435.12,70016000
2000,8615,571777.55,137840000
2001,10412,691044.4400000001,166592000
2002,10811,717526.0700000001,172976000
2003,26939,1787941.4300000002,431024000
2007,2840,188490.80000000002,45440000
2008,5660,375654.2,90560000
2009,4433,294218.21,70928000
2010,3936,261232.32,62976000
2011,4134,274373.58,66144000
1961,720,47786.4,11520000
1962,617,40950.29,9872000
1963,1029,68294.73000000001,16464000
1964,1081,71745.97,17296000
1965,1163,77188.31000000001,18608000
1966,1420,94245.40000000001,22720000
1967,1431,94975.47,22896000
1968,1024,67962.88,16384000
1969,1441,95639.17000000001,23056000
1970,1235,81966.95000000001,19760000
1971,1770,117474.90000000001,28320000
1972,1852,122917.24,29632000
1973,1677,111302.49,26832000
1974,2350,155969.5,37600000
1975,2504,166190.48,40064000
1976,1014,67299.18000000001,16224000
1977,1325,87940.25,21200000
1978,1358,90130.46,21728000
1979,781,51834.97,12496000
1980,1005,66701.85,16080000
1981,1458,96767.46,23328000
1982,1868,123979.16,29888000
1983,1769,117408.53000000001,28304000
1984,2343,155504.91,37488000
1985,1441,95639.17000000001,23056000
1986,679,45065.23,10864000
1987,1605,106523.85,25680000
1988,1605,106523.85,25680000
1989,1564,103802.68000000001,25024000
1990,1029,68294.73000000001,16464000
1991,967,64179.79,15472000
1992,823,54622.51,13168000
1993,1029,68294.73000000001,16464000
1994,823,54622.51,13168000
1995,864,57343.68000000001,13824000
1996,906,60131.22,14496000
1997,885,58737.450000000004,14160000
1998,1029,68294.73000000001,16464000
1999,1132,75130.84000000001,18112000
2000,906,60131.22,14496000
2001,947,62852.39000000001,15152000
2002,906,60131.22,14496000
2003,540,35839.8,8640000
2004,863,57277.310000000005,13808000
2005,2689,178468.93000000002,43024000
2006,2608,173092.96000000002,41728000
2007,2739,181787.43000000002,43824000
2008,2764,183446.68000000002,44224000
2009,2789,185105.93000000002,44624000
2010,2822,187296.14,45152000
2011,2872,190614.64,45952000
2012,3015,200105.55000000002,48240000
2013,3109,206344.33000000002,49744000
2014,3230,214375.1,51680000
2015,3007,199574.59000000003,48112000
2016,3029,201034.73,48464000
2017,3091,205149.67,49456000
2018,3186,211454.82,50976000
2019,3102,205879.74000000002,49632000
2020,3126,207472.62000000002,50016000
2021,3233,214574.21000000002,51728000
2022,3254,215967.98,52064000
2023,3204,212649.48,51264000
